scorer,,,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav,Pranav
bodyparts,,,Head,Head,Pro,Pro,Meso,Meso,Meta,Meta,LF0,LF0,LF1,LF1,LF2,LF2,LM0,LM0,LM1,LM1,LM2,LM2,LH0,LH0,LH1,LH1,LH2,LH2,RF0,RF0,RF1,RF1,RF2,RF2,RM0,RM0,RM1,RM1,RM2,RM2,RH0,RH0,RH1,RH1,RH2,RH2,Bar,Bar,Axis,Axis,Fix,Fix
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,PIC_0558,img0010.png,245.8172237246847,185.39330085261875,269.1240632548153,179.84405334544476,295.20552653853304,171.52018208468382,317.9574413179463,163.75123557464025,274.1183860112719,192.6073226119449,264.1297404983588,204.81566712772764,262.4649662462066,207.03536613059723,296.87030079068523,189.8326988583579,301.8646235471418,203.15089287557544,316.8475918165115,204.81566712772764,319.6222155700985,189.83269885835793,345.1487541030988,199.82134437127107,350.1430768595553,182.06375234831435,265.794514750511,164.30616032535764,251.92139598257603,158.75691281818365,254.14109498544565,158.75691281818365,290.76612853279386,153.7625900617271,295.20552653853304,139.88947129379216,308.5237205557506,128.79097627944424,304.6392473007288,150.43304155742277,314.62789281364195,126.57127727657462,326.83623732942465,143.77394454881397,316.8475918165115,319.6850905262288,314.62789281364195,174.8497305889882,284.6619562749025,175.40465533970558
labeled-data,PIC_0558,img0010.png,245.8172237246847,185.39330085261875,269.1240632548153,179.84405334544476,295.20552653853304,171.52018208468382,317.9574413179463,163.75123557464025,274.1183860112719,192.6073226119449,264.1297404983588,204.81566712772764,262.4649662462066,207.03536613059723,296.87030079068523,189.8326988583579,301.8646235471418,203.15089287557544,316.8475918165115,204.81566712772764,319.6222155700985,189.83269885835793,345.1487541030988,199.82134437127107,350.1430768595553,182.06375234831435,265.794514750511,164.30616032535764,251.92139598257603,158.75691281818365,254.14109498544565,158.75691281818365,290.76612853279386,153.7625900617271,295.20552653853304,139.88947129379216,308.5237205557506,128.79097627944424,304.6392473007288,150.43304155742277,314.62789281364195,126.57127727657462,326.83623732942465,143.77394454881397,316.8475918165115,319.6850905262288,314.62789281364195,174.8497305889882,284.6619562749025,175.40465533970558
labeled-data,PIC_0558,img0051.png,266.34943950122835,233.6717541650323,281.8873325213155,210.919839385619,295.7604512892504,192.0523978612275,311.29834430933755,172.6300315861186,291.87597803422864,222.57325915068435,294.09567703709826,233.6717541650323,290.76612853279386,244.77024917938022,305.7490968021636,205.92551662916244,320.1771403208159,222.01833439996696,324.6165383265551,219.24371064637995,328.50101158157685,185.94822560333614,353.4726253638597,175.40465533970558,350.1430768595553,158.2019880674663,273.00853650983714,197.60164536840148,258.0255682404674,196.49179586696667,256.9157187390326,192.6073226119449,279.1127087677285,190.9425483597927,260.245267243337,185.39330085261875,256.3607939883152,188.72284935692312,290.21120378207644,166.52585932822723,290.76612853279386,136.5599227894878,315.73774231507673,125.46142777513984,316.8475918165115,318.02031627407666,315.1828175643593,174.8497305889882,292.43090278494606,198.71149486983626
labeled-data,PIC_0558,img0051.png,266.34943950122835,233.6717541650323,281.8873325213155,210.919839385619,295.7604512892504,192.0523978612275,311.29834430933755,172.6300315861186,291.87597803422864,222.57325915068435,294.09567703709826,233.6717541650323,290.76612853279386,244.77024917938022,305.7490968021636,205.92551662916244,320.1771403208159,222.01833439996696,324.6165383265551,219.24371064637995,328.50101158157685,185.94822560333614,353.4726253638597,175.40465533970558,350.1430768595553,158.2019880674663,273.00853650983714,197.60164536840148,258.0255682404674,196.49179586696667,256.9157187390326,192.6073226119449,279.1127087677285,190.9425483597927,260.245267243337,185.39330085261875,256.3607939883152,188.72284935692312,290.21120378207644,166.52585932822723,290.76612853279386,136.5599227894878,315.73774231507673,125.46142777513984,316.8475918165115,318.02031627407666,315.1828175643593,174.8497305889882,292.43090278494606,198.71149486983626
labeled-data,PIC_0558,img0088.png,290.76612853279386,239.77592642292365,295.20552653853304,217.02401164351036,302.97447304857656,193.1622473626623,308.5237205557506,175.40465533970558,310.74341955862013,222.57325915068435,313.5180433122071,234.2266789157497,311.8532690600549,245.88009868081502,320.1771403208159,197.0467206176841,334.6051838394682,187.61299985548834,332.38548483659866,171.52018208468382,329.05593633229427,183.17360184974916,351.8078511117075,168.74555833109682,335.715033340903,162.08646132248805,282.44225727203286,210.919839385619,269.67898800553274,216.46908689279297,274.1183860112719,216.46908689279297,285.2168810256199,194.8270216148145,270.2339127562501,193.7171721133797,267.4592890026632,192.6073226119449,292.43090278494606,167.63570882966204,286.3267305270547,138.22469704163996,301.3096987964244,110.4784595057701,316.84759181651145,318.575241024794,314.62789281364195,177.06942959185778,300.1998492949896,202.59596812485805
labeled-data,PIC_0558,img0088.png,290.76612853279386,239.77592642292365,295.20552653853304,217.02401164351036,302.97447304857656,193.1622473626623,308.5237205557506,175.40465533970558,310.74341955862013,222.57325915068435,313.5180433122071,234.2266789157497,311.8532690600549,245.88009868081502,320.1771403208159,197.0467206176841,334.6051838394682,187.61299985548834,332.38548483659866,171.52018208468382,329.05593633229427,183.17360184974916,351.8078511117075,168.74555833109682,335.715033340903,162.08646132248805,282.44225727203286,210.919839385619,269.67898800553274,216.46908689279297,274.1183860112719,216.46908689279297,285.2168810256199,194.8270216148145,270.2339127562501,193.7171721133797,267.4592890026632,192.6073226119449,292.43090278494606,167.63570882966204,286.3267305270547,138.22469704163996,301.3096987964244,110.4784595057701,316.84759181651145,318.575241024794,314.62789281364195,177.06942959185778,300.1998492949896,202.59596812485805
labeled-data,PIC_0558,img1081.png,349.3252868652344,236.2523956298828,336.05914306640625,219.20643615722656,322.9148864746094,196.56637573242188,310.7771301269531,178.52699279785156,353.4644798325405,214.11230468750003,366.16275139087963,216.7019500732422,378.70366421794256,221.26104621654227,342.455951889563,194.40386733542832,357.362899206904,187.4583147083897,352.16934433449353,188.50187568431573,332.919573789699,171.60234528519808,327.1126708984375,137.46926879882812,311.04180908203125,115.936767578125,325.3086130223754,226.76066761366314,318.1568943093576,239.5011659750331,318.95982647524585,237.24550267081298,316.7917379484113,216.5507587595947,305.5938585316319,228.30966645219027,309.0722266000713,231.35230877593443,298.7396240234375,192.66288929335064,272.0351867675781,183.4429168701172,274.57136707655377,154.30168266529367,316.06898670546,317.71995601770544,313.7528381347656,176.1504364013672,330.0113830566406,204.48162841796875
labeled-data,PIC_0558,img1081.png,349.3252868652344,236.2523956298828,336.05914306640625,219.20643615722656,322.9148864746094,196.56637573242188,310.7771301269531,178.52699279785156,353.4644798325405,214.11230468750003,366.16275139087963,216.7019500732422,378.70366421794256,221.26104621654227,342.455951889563,194.40386733542832,357.362899206904,187.4583147083897,352.16934433449353,188.50187568431573,332.919573789699,171.60234528519808,327.1126708984375,137.46926879882812,311.04180908203125,115.936767578125,325.3086130223754,226.76066761366314,318.1568943093576,239.5011659750331,318.95982647524585,237.24550267081298,316.7917379484113,216.5507587595947,305.5938585316319,228.30966645219027,309.0722266000713,231.35230877593443,298.7396240234375,192.66288929335064,272.0351867675781,183.4429168701172,274.57136707655377,154.30168266529367,316.06898670546,317.71995601770544,313.7528381347656,176.1504364013672,330.0113830566406,204.48162841796875
