step,model,vel,direction
10-step,LSTM,20.7298212,0.148749903
10-step,LSTM,16.45777556,0.044355941
10-step,LSTM,26.08186125,0.196194176
10-step,LSTM,27.99492047,0.186831636
10-step,LSTM,43.54356738,0.115952259
10-step,LSTM,31.25304315,0.127045294
10-step,HSLTM,18.79391097,0.225275617
10-step,HSLTM,16.12237908,0.065075893
10-step,HSLTM,23.23335888,0.167108562
10-step,HSLTM,30.32914206,0.18814384
10-step,HSLTM,41.11344147,0.113910355
10-step,HSLTM,32.54667423,0.120500266
10-step,NARx LSTM,19.5788954,0.263684179
10-step,NARx LSTM,20.4895069,0.079737107
10-step,NARx LSTM,26.24025772,0.209455249
10-step,NARx LSTM,28.63656847,0.215399076
10-step,NARx LSTM,45.39767398,0.145683766
10-step,NARx LSTM,30.25061573,0.148354894
20-step,LSTM,20.77639394,0.154268314
20-step,LSTM,19.94414905,0.065393385
20-step,LSTM,27.74913768,0.19135823
20-step,LSTM,28.04660949,0.191314343
20-step,LSTM,50.02001868,0.131288102
20-step,LSTM,35.00738296,0.141961341
20-step,HSLTM,18.45817399,0.163144178
20-step,HSLTM,17.3894673,0.085082711
20-step,HSLTM,26.06193569,0.192399123
20-step,HSLTM,26.0535946,0.212510152
20-step,HSLTM,49.62128657,0.138491561
20-step,HSLTM,34.23543579,0.135129292
20-step,NARx LSTM,19.7407759,0.282444769
20-step,NARx LSTM,18.98624009,0.099696234
20-step,NARx LSTM,27.07124394,0.211797035
20-step,NARx LSTM,29.67760211,0.245737165
20-step,NARx LSTM,46.27614674,0.169433099
20-step,NARx LSTM,35.05894685,0.149270785
