model,pattern,vel,direction
LSTM,Pattern 1,16.03878988,0.190780938
LSTM,Pattern 1,15.77003971,0.047301109
LSTM,Pattern 1,24.58695662,0.164934609
LSTM,Pattern 1,21.49208512,0.154491232
LSTM,Pattern 1,37.85718673,0.104382586
LSTM,Pattern 1,31.25733104,0.112022028
LSTM,Pattern 2,15.70104629,0.347082667
LSTM,Pattern 2,14.46475692,0.095687718
LSTM,Pattern 2,28.42774689,0.134926078
LSTM,Pattern 2,30.7569235,0.164201962
LSTM,Pattern 2,36.62501163,0.1103155
LSTM,Pattern 2,28.77442798,0.107627846
LSTM,Pattern 3,17.22617377,0.157398752
LSTM,Pattern 3,16.44879658,0.049593873
LSTM,Pattern 3,24.52410313,0.136938367
LSTM,Pattern 3,28.88268527,0.1472667
LSTM,Pattern 3,40.56627367,0.117325093
LSTM,Pattern 3,31.26806474,0.115500032
HLSTM,Pattern 1,16.53696353,0.186770125
HLSTM,Pattern 1,14.70339342,0.034205184
HLSTM,Pattern 1,23.70081345,0.151531641
HLSTM,Pattern 1,25.03252622,0.169923447
HLSTM,Pattern 1,35.1893564,0.099147683
HLSTM,Pattern 1,28.2930434,0.113645548
HLSTM,Pattern 2,17.80202533,0.337899278
HLSTM,Pattern 2,15.93022862,0.082437198
HLSTM,Pattern 2,24.84159357,0.138547259
HLSTM,Pattern 2,27.42815187,0.158574077
HLSTM,Pattern 2,35.87704161,0.110278564
HLSTM,Pattern 2,26.96782469,0.11053944
HLSTM,Pattern 3,18.55623513,0.245306067
HLSTM,Pattern 3,17.99633881,0.059667616
HLSTM,Pattern 3,24.15190109,0.132639255
HLSTM,Pattern 3,35.30293055,0.137162101
HLSTM,Pattern 3,45.40387096,0.132153656
HLSTM,Pattern 3,33.98837076,0.120599106
